用户昵称,商品型号,评论时间,评论内容
用户昵称,商品型号,评论时间,评论内容
我***2,机身颜色:睿金;套餐类型:官方标配;存储容量:6+128GB;版本类型:中国大陆,2021-03-16 14:08:49,懒得验证，是新机无疑，翻盖机的情怀，尝试一把，机器还不错，功能啥的不重要了
t***a,机身颜色:睿金;套餐类型:官方标配;存储容量:6+128GB;版本类型:中国大陆,2021-01-15 14:12:21,翻新机，2018年激活的，客服后来也不说话
饕***l,机身颜色:睿金;套餐类型:官方标配;存储容量:6+128GB;版本类型:中国大陆,2020-11-16 14:37:05,其他特色：非常好值得这个价格特别喜欢
t***0,机身颜色:尊铂;套餐类型:官方标配;存储容量:6+256GB;版本类型:中国大陆,2020-11-08 13:53:09,全新未拆封 不错
爱***的,机身颜色:尊铂;套餐类型:官方标配;存储容量:6+256GB;版本类型:中国大陆,2020-10-31 21:13:47,买一个星期了，今天才打开去专卖店激活，外观大气，非常满意，是正品，可以放心购买。
用户昵称,商品型号,评论时间,评论内容
胖***杨,颜色分类:玫瑰金色;网络类型:无线局域网机型;存储容量:64GB;套餐类型:官方标配,2021-05-15 23:07:12,粉色的嘎嘎好看 冷光偏粉 暖光偏金 好看
t***8,颜色分类:玫瑰金色;网络类型:无线局域网机型;存储容量:64GB;套餐类型:官方标配,2021-05-14 11:53:08,送货快速及时，商品无问题。好！
周***0,颜色分类:深空灰色;网络类型:无线局域网机型;存储容量:256GB;套餐类型:官方标配,2021-05-13 07:26:59,活动太多 pro反而比Air便宜 奇葩的活动！
t***7,颜色分类:银色;网络类型:无线局域网机型;存储容量:64GB;套餐类型:官方标配,2021-05-11 16:29:17,此用户没有填写评论!
王***嫣,颜色分类:绿色;网络类型:无线局域网机型;存储容量:256GB;套餐类型:官方标配,2021-05-10 03:15:16,5/1降价的时候买的，挺好的
